2015-12-29 10:28:53.038070;1;1;1;28-000006ddab6e;20.75
2015-12-29 10:28:56.819127;1;1;1;28-000006ddab6e;20.75
2015-12-29 10:29:04.590854;1;1;1;28-000006ddab6e;20.75
2015-12-29 10:29:18.341176;1;1;1;28-000006ddab6e;20.75
2015-12-29 10:29:20.605121;1;1;1;28-000006ddab6e;20.75
2015-12-29 10:29:21.942740;1;1;1;28-000006ddab6e;20.75
2015-12-29 10:29:23.278702;1;1;1;28-000006ddab6e;20.75
2015-12-29 10:29:24.610713;1;1;1;28-000006ddab6e;20.812
2015-12-29 10:29:25.953266;1;1;1;28-000006ddab6e;20.75
2015-12-29 10:29:27.294573;1;1;1;28-000006ddab6e;20.75
